model	dataset	trained	epoch_no	perturb_mec	sigma	clip_norm	batch_size	num_images	restarts	OPTIM	cost_fn	indices	weights	scoring	init	tv	opt_score	psnr	test_mse	feat_mse	target_id	timing	dtype	val_acc	rec_img	gt_img
mnist mlp	mnist	False	1	ALG_NoGaussSGD	0.0005	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	-0.0000	83.7542	0.0000	0.0000	9844	0:00:45.106094	torch.float32			
mnist mlp	mnist	False	1	ALG_rGaussAGrad16	0.0005	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0224	36.2108	0.0025	0.0000	6993	0:00:46.134301	torch.float32			
mnist mlp	mnist	False	1	ALG_rGaussAGrad16	0.0005	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0324	46.1067	0.0003	0.0000	5738	0:00:44.346907	torch.float32			
mnist mlp	mnist	False	1	ALG_rGaussAGrad16	0.0005	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0350	43.7839	0.0004	0.0000	9472	0:00:43.146683	torch.float32			
mnist mlp	mnist	False	1	ALG_rGaussAGrad16	0.0005	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0370	34.9011	0.0034	0.0000	9640	0:00:43.255723	torch.float32			
mnist mlp	mnist	False	1	ALG_rGaussAGrad16	0.0005	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0110	49.3644	0.0001	0.0000	364	0:00:44.103844	torch.float32			
mnist mlp	mnist	False	1	ALG_rGaussAGrad16	0.0005	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0387	48.2155	0.0002	0.0000	6397	0:00:43.634618	torch.float32			
mnist mlp	mnist	False	1	ALG_rGaussAGrad16	0.0005	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0176	47.5697	0.0002	0.0000	915	0:00:43.823805	torch.float32			
mnist mlp	mnist	False	1	ALG_rGaussAGrad16	0.0005	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0241	46.7901	0.0002	0.0000	2650	0:00:44.236936	torch.float32			
mnist mlp	mnist	False	1	ALG_rGaussAGrad16	0.0005	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0122	54.4324	0.0000	0.0000	7960	0:00:45.724518	torch.float32			
mnist mlp	mnist	False	1	ALG_rGaussAGrad16	0.0005	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0200	39.2777	0.0012	0.0000	3914	0:00:44.370192	torch.float32			
mnist mlp	mnist	False	1	ALG_rGaussAGrad16	0.0005	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0158	46.4366	0.0002	0.0000	5215	0:00:42.977957	torch.float32			
mnist mlp	mnist	False	1	ALG_rGaussAGrad16	0.0005	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0342	33.8895	0.0043	0.0000	8864	0:00:44.494634	torch.float32			
mnist mlp	mnist	False	1	ALG_rGaussAGrad16	0.0005	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0172	57.8630	0.0000	0.0000	4448	0:00:45.053236	torch.float32			
mnist mlp	mnist	False	1	ALG_rGaussAGrad16	0.0005	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0121	46.0747	0.0003	0.0000	7147	0:00:44.955246	torch.float32			
mnist mlp	mnist	False	1	ALG_rGaussAGrad16	0.0005	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0464	39.4165	0.0012	0.0000	473	0:00:43.620171	torch.float32			
mnist mlp	mnist	False	1	ALG_rGaussAGrad16	0.0005	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0172	54.4962	0.0000	0.0000	9002	0:00:47.293108	torch.float32			
mnist mlp	mnist	False	1	ALG_rGaussAGrad16	0.0005	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0232	46.7514	0.0002	0.0000	153	0:01:17.901146	torch.float32			
mnist mlp	mnist	False	1	ALG_rGaussAGrad16	0.0005	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0109	41.0601	0.0008	0.0000	8458	0:01:20.865374	torch.float32			
mnist mlp	mnist	False	1	ALG_rGaussAGrad16	0.0005	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0144	45.2923	0.0003	0.0000	8965	0:01:24.543337	torch.float32			
mnist mlp	mnist	False	1	ALG_rGaussAGrad16	0.0005	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0184	51.5921	0.0001	0.0000	8418	0:01:23.359207	torch.float32			
mnist mlp	mnist	False	1	ALG_rGaussAGrad16	0.0001	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0273	40.9773	0.0008	0.0000	1590	0:01:21.698094	torch.float32			
mnist mlp	mnist	False	1	ALG_rGaussAGrad16	0.0001	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0077	40.4580	0.0009	0.0000	5366	0:01:23.145416	torch.float32			
mnist mlp	mnist	False	1	ALG_rGaussAGrad16	0.0001	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0004	62.5713	0.0000	0.0000	3042	0:01:26.241563	torch.float32			
mnist mlp	mnist	False	1	ALG_rGaussAGrad16	0.0001	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0006	66.4313	0.0000	0.0000	4388	0:01:29.405375	torch.float32			
mnist mlp	mnist	False	1	ALG_rGaussAGrad16	0.0001	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0004	61.6922	0.0000	0.0000	8714	0:01:25.087253	torch.float32			
mnist mlp	mnist	False	1	ALG_rGaussAGrad16	0.0001	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0190	43.1183	0.0005	0.0001	69	0:01:26.846245	torch.float32			
mnist mlp	mnist	False	1	ALG_rGaussAGrad16	0.0001	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0004	57.1687	0.0000	0.0000	1	0:01:30.063814	torch.float32			
mnist mlp	mnist	False	1	ALG_rGaussAGrad16	0.0001	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0004	69.0824	0.0000	0.0000	5197	0:01:27.900665	torch.float32			
mnist mlp	mnist	False	1	ALG_rGaussAGrad16	0.0001	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0464	31.2525	0.0079	0.0001	939	0:01:17.640152	torch.float32			
mnist mlp	mnist	False	1	ALG_rGaussAGrad16	0.0001	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0039	43.3725	0.0005	0.0000	5008	0:00:49.594243	torch.float32			
mnist mlp	mnist	False	1	ALG_rGaussAGrad16	0.0001	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0016	65.7820	0.0000	0.0000	357	0:00:44.701040	torch.float32			
mnist mlp	mnist	False	1	ALG_rGaussAGrad16	0.0001	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0005	74.4786	0.0000	0.0000	2173	0:00:44.033670	torch.float32			
mnist mlp	mnist	False	1	ALG_rGaussAGrad16	0.0001	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0003	58.8704	0.0000	0.0000	869	0:00:42.843857	torch.float32			
mnist mlp	mnist	False	1	ALG_rGaussAGrad16	0.0001	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0193	37.1836	0.0020	0.0000	8035	0:00:45.881771	torch.float32			
mnist mlp	mnist	False	1	ALG_rGaussAGrad16	0.0001	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0004	69.8575	0.0000	0.0000	9987	0:01:21.343049	torch.float32			
mnist mlp	mnist	False	1	ALG_rGaussAGrad16	0.0001	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0086	39.1576	0.0013	0.0000	3675	0:01:27.887689	torch.float32			
mnist mlp	mnist	False	1	ALG_rGaussAGrad16	0.0001	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0009	53.9246	0.0000	0.0000	9742	0:01:18.820432	torch.float32			
mnist mlp	mnist	False	1	ALG_rGaussAGrad16	0.0001	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0007	74.4202	0.0000	0.0000	1680	0:01:27.800380	torch.float32			
mnist mlp	mnist	False	1	ALG_rGaussAGrad16	0.0001	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0183	31.0346	0.0083	0.0001	7855	0:01:09.202023	torch.float32			
mnist mlp	mnist	False	1	ALG_rGaussAGrad16	0.0001	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0005	62.9163	0.0000	0.0000	8670	0:01:16.781860	torch.float32			
mnist mlp	mnist	False	1	ALG_rGaussAGrad16	0.0003	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0291	29.9237	0.0107	0.0001	5481	0:01:17.665708	torch.float32			
mnist mlp	mnist	False	1	ALG_rGaussAGrad16	0.0003	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0095	44.2789	0.0004	0.0000	8901	0:01:10.908524	torch.float32			
mnist mlp	mnist	False	1	ALG_rGaussAGrad16	0.0003	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0171	44.1656	0.0004	0.0000	5046	0:01:19.345332	torch.float32			
mnist mlp	mnist	False	1	ALG_rGaussAGrad16	0.0003	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0053	51.0142	0.0001	0.0000	935	0:01:06.109529	torch.float32			
mnist mlp	mnist	False	1	ALG_rGaussAGrad16	0.0003	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0046	46.0915	0.0003	0.0000	7757	0:01:16.701364	torch.float32			
mnist mlp	mnist	False	1	ALG_rGaussAGrad16	0.0003	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0054	51.7013	0.0001	0.0000	6275	0:01:17.024043	torch.float32			
mnist mlp	mnist	False	1	ALG_rGaussAGrad16	0.0003	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0073	55.6277	0.0000	0.0000	1834	0:01:17.864922	torch.float32			
mnist mlp	mnist	False	1	ALG_rGaussAGrad16	0.0003	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0057	52.9300	0.0001	0.0000	5229	0:01:18.905767	torch.float32			
mnist mlp	mnist	False	1	ALG_rGaussAGrad16	0.0003	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0079	47.4815	0.0002	0.0000	5726	0:01:28.465729	torch.float32			
mnist mlp	mnist	False	1	ALG_rGaussAGrad16	0.0003	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0075	53.7169	0.0000	0.0000	9782	0:01:21.042694	torch.float32			
mnist mlp	mnist	False	1	ALG_rGaussAGrad16	0.0003	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0130	56.9942	0.0000	0.0000	7430	0:01:30.221147	torch.float32			
mnist mlp	mnist	False	1	ALG_rGaussAGrad16	0.0003	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0177	52.9135	0.0001	0.0000	6611	0:01:25.565254	torch.float32			
mnist mlp	mnist	False	1	ALG_rGaussAGrad16	0.0003	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0031	45.7190	0.0003	0.0000	4992	0:01:12.333445	torch.float32			
mnist mlp	mnist	False	1	ALG_rGaussAGrad16	0.0003	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0162	36.2909	0.0025	0.0000	4829	0:01:21.780840	torch.float32			
mnist mlp	mnist	False	1	ALG_rGaussAGrad16	0.0003	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0092	49.1675	0.0001	0.0000	59	0:01:17.154289	torch.float32			
mnist mlp	mnist	False	1	ALG_rGaussAGrad16	0.0003	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0056	47.8602	0.0002	0.0000	8869	0:01:22.985179	torch.float32			
mnist mlp	mnist	False	1	ALG_rGaussAGrad16	0.0003	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0069	48.9272	0.0001	0.0000	4100	0:01:16.397891	torch.float32			
mnist mlp	mnist	False	1	ALG_rGaussAGrad16	0.0003	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0066	51.3073	0.0001	0.0000	9312	0:01:24.336400	torch.float32			
mnist mlp	mnist	False	1	ALG_rGaussAGrad16	0.0003	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0050	53.2141	0.0001	0.0000	5877	0:01:27.107464	torch.float32			
mnist mlp	mnist	False	1	ALG_rGaussAGrad16	0.0003	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0039	75.2223	0.0000	0.0000	4217	0:01:23.389573	torch.float32			
mnist mlp	mnist	False	1	ALG_eGaussAGrad19	0.0003	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0093	50.1787	0.0001	0.0000	1459	0:00:43.886403	torch.float32			
mnist mlp	mnist	False	1	ALG_eGaussAGrad19	0.0003	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0251	39.5284	0.0012	0.0000	3939	0:00:46.712474	torch.float32			
mnist mlp	mnist	False	1	ALG_eGaussAGrad19	0.0003	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0409	37.1654	0.0020	0.0001	6030	0:00:47.738305	torch.float32			
mnist mlp	mnist	False	1	ALG_eGaussAGrad19	0.0003	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0060	44.9082	0.0003	0.0000	9234	0:01:13.123635	torch.float32			
mnist mlp	mnist	False	1	ALG_eGaussAGrad19	0.0003	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0068	69.4863	0.0000	0.0000	627	0:01:02.433074	torch.float32			
mnist mlp	mnist	False	1	ALG_eGaussAGrad19	0.0003	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0368	39.5878	0.0012	0.0000	7493	0:01:10.270333	torch.float32			
mnist mlp	mnist	False	1	ALG_eGaussAGrad19	0.0003	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0062	47.3552	0.0002	0.0000	4124	0:01:12.551367	torch.float32			
mnist mlp	mnist	False	1	ALG_eGaussAGrad19	0.0003	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0045	49.6797	0.0001	0.0000	9743	0:01:02.708371	torch.float32			
mnist mlp	mnist	False	1	ALG_eGaussAGrad19	0.0003	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0049	55.9304	0.0000	0.0000	8869	0:01:07.048148	torch.float32			
mnist mlp	mnist	False	1	ALG_eGaussAGrad19	0.0003	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0119	47.7042	0.0002	0.0000	2374	0:01:15.143710	torch.float32			
mnist mlp	mnist	False	1	ALG_eGaussAGrad19	0.0003	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0045	60.3620	0.0000	0.0000	3665	0:01:10.401274	torch.float32			
mnist mlp	mnist	False	1	ALG_eGaussAGrad19	0.0003	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0361	38.0411	0.0017	0.0000	119	0:01:08.203452	torch.float32			
mnist mlp	mnist	False	1	ALG_eGaussAGrad19	0.0003	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0226	52.1999	0.0001	0.0000	6032	0:01:06.957681	torch.float32			
mnist mlp	mnist	False	1	ALG_eGaussAGrad19	0.0003	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0026	53.7679	0.0000	0.0000	6727	0:01:13.700803	torch.float32			
mnist mlp	mnist	False	1	ALG_eGaussAGrad19	0.0003	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0036	57.5644	0.0000	0.0000	298	0:01:09.135864	torch.float32			
mnist mlp	mnist	False	1	ALG_eGaussAGrad19	0.0003	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0051	63.1584	0.0000	0.0000	3133	0:01:02.344206	torch.float32			
mnist mlp	mnist	False	1	ALG_eGaussAGrad19	0.0003	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0051	63.8011	0.0000	0.0000	1889	0:00:59.738266	torch.float32			
mnist mlp	mnist	False	1	ALG_eGaussAGrad19	0.0003	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0126	60.7068	0.0000	0.0000	2010	0:00:49.370008	torch.float32			
mnist mlp	mnist	False	1	ALG_eGaussAGrad19	0.0003	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0179	40.9512	0.0008	0.0000	455	0:00:43.251838	torch.float32			
mnist mlp	mnist	False	1	ALG_eGaussAGrad19	0.0003	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0045	43.3223	0.0005	0.0000	3558	0:00:43.739223	torch.float32			
mnist mlp	mnist	False	1	ALG_eGaussAGrad19	0.0001	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0007	55.7348	0.0000	0.0000	2742	0:00:47.214554	torch.float32			
mnist mlp	mnist	False	1	ALG_eGaussAGrad19	0.0001	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0022	41.1619	0.0008	0.0000	3787	0:01:13.366964	torch.float32			
mnist mlp	mnist	False	1	ALG_eGaussAGrad19	0.0001	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0007	57.0589	0.0000	0.0000	9210	0:01:04.928243	torch.float32			
mnist mlp	mnist	False	1	ALG_eGaussAGrad19	0.0001	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0138	46.5710	0.0002	0.0000	3962	0:01:18.371290	torch.float32			
mnist mlp	mnist	False	1	ALG_eGaussAGrad19	0.0001	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0008	66.0176	0.0000	0.0000	4570	0:01:07.664475	torch.float32			
mnist mlp	mnist	False	1	ALG_eGaussAGrad19	0.0001	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0009	68.1604	0.0000	0.0000	2808	0:01:07.775372	torch.float32			
mnist mlp	mnist	False	1	ALG_eGaussAGrad19	0.0001	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0004	55.7343	0.0000	0.0000	8095	0:01:15.957943	torch.float32			
mnist mlp	mnist	False	1	ALG_eGaussAGrad19	0.0001	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0008	66.0036	0.0000	0.0000	2523	0:01:15.155197	torch.float32			
mnist mlp	mnist	False	1	ALG_eGaussAGrad19	0.0001	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0011	55.8224	0.0000	0.0000	646	0:01:15.116208	torch.float32			
mnist mlp	mnist	False	1	ALG_eGaussAGrad19	0.0001	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0007	57.8903	0.0000	0.0000	9210	0:01:14.889462	torch.float32			
mnist mlp	mnist	False	1	ALG_eGaussAGrad19	0.0001	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0054	49.4579	0.0001	0.0000	4717	0:01:04.611695	torch.float32			
mnist mlp	mnist	False	1	ALG_eGaussAGrad19	0.0001	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0004	57.8700	0.0000	0.0000	5538	0:01:15.511695	torch.float32			
mnist mlp	mnist	False	1	ALG_eGaussAGrad19	0.0001	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0006	60.8540	0.0000	0.0000	7033	0:01:09.362135	torch.float32			
mnist mlp	mnist	False	1	ALG_eGaussAGrad19	0.0001	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0036	45.8270	0.0003	0.0000	6808	0:01:15.642652	torch.float32			
mnist mlp	mnist	False	1	ALG_eGaussAGrad19	0.0001	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0005	61.3139	0.0000	0.0000	3622	0:00:57.905032	torch.float32			
mnist mlp	mnist	False	1	ALG_eGaussAGrad19	0.0001	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0080	46.4587	0.0002	0.0000	2772	0:00:44.415915	torch.float32			
mnist mlp	mnist	False	1	ALG_eGaussAGrad19	0.0001	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0007	54.5930	0.0000	0.0000	2780	0:00:45.491096	torch.float32			
mnist mlp	mnist	False	1	ALG_eGaussAGrad19	0.0001	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0399	38.1921	0.0016	0.0000	7434	0:00:47.015772	torch.float32			
mnist mlp	mnist	False	1	ALG_eGaussAGrad19	0.0001	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0061	44.1994	0.0004	0.0000	5792	0:00:45.725341	torch.float32			
mnist mlp	mnist	False	1	ALG_eGaussAGrad19	0.0001	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0125	40.2882	0.0010	0.0000	6574	0:00:43.026754	torch.float32			
mnist mlp	mnist	False	1	ALG_eGaussAGrad19	0.0005	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0188	42.2003	0.0006	0.0000	676	0:00:46.817953	torch.float32			
mnist mlp	mnist	False	1	ALG_eGaussAGrad19	0.0005	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0086	47.8121	0.0002	0.0000	6454	0:00:43.246710	torch.float32			
mnist mlp	mnist	False	1	ALG_eGaussAGrad19	0.0005	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0197	46.0200	0.0003	0.0000	8190	0:00:42.869183	torch.float32			
mnist mlp	mnist	False	1	ALG_eGaussAGrad19	0.0005	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0077	50.8567	0.0001	0.0000	5470	0:00:43.167085	torch.float32			
mnist mlp	mnist	False	1	ALG_eGaussAGrad19	0.0005	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0240	37.9368	0.0017	0.0000	7229	0:00:43.777082	torch.float32			
mnist mlp	mnist	False	1	ALG_eGaussAGrad19	0.0005	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0123	45.8602	0.0003	0.0000	9826	0:00:46.417207	torch.float32			
mnist mlp	mnist	False	1	ALG_eGaussAGrad19	0.0005	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0180	49.9473	0.0001	0.0000	5064	0:00:43.387292	torch.float32			
mnist mlp	mnist	False	1	ALG_eGaussAGrad19	0.0005	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0132	55.1660	0.0000	0.0000	1646	0:00:43.729896	torch.float32			
mnist mlp	mnist	False	1	ALG_eGaussAGrad19	0.0005	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0171	42.0792	0.0007	0.0000	3556	0:00:47.413946	torch.float32			
mnist mlp	mnist	False	1	ALG_eGaussAGrad19	0.0005	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0171	45.3462	0.0003	0.0000	1088	0:00:45.478564	torch.float32			
mnist mlp	mnist	False	1	ALG_eGaussAGrad19	0.0005	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0134	46.7914	0.0002	0.0000	5992	0:00:44.774781	torch.float32			
mnist mlp	mnist	False	1	ALG_eGaussAGrad19	0.0005	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0133	44.1260	0.0004	0.0000	9574	0:00:44.109213	torch.float32			
mnist mlp	mnist	False	1	ALG_eGaussAGrad19	0.0005	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0174	49.0471	0.0001	0.0000	7648	0:00:44.220015	torch.float32			
