model	dataset	trained	epoch_no	perturb_mec	sigma	epsilon	clip_norm	batch_size	num_images	restarts	OPTIM	cost_fn	indices	weights	scoring	init	tv	opt_score	psnr	test_mse	feat_mse	target_id	timing	dtype	val_acc	rec_img	gt_img
mnist mlp	MNIST	False	4	ALG_rGaussAGrad16	0.0001	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0184	19.3605	0.7246	0.0044	[1045, 782, 150, 2090, 7631, 212, 8231, 7006]	0:03:01.716965	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad16	5e-05	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0109	26.7279	0.3412	0.0018	[9468, 6298, 879, 7923, 1577, 9495, 2550, 7448]	0:03:13.299411	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_NoGaussSGD	0.0001	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0047	30.3398	0.2660	0.0013	[9636, 8958, 7991, 5575, 3550, 6853, 1344, 9434]	0:03:12.356384	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad16	0.0005	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0074	30.1566	0.3397	0.0018	[1535, 1246, 890, 5825, 8572, 3710, 3109, 2641]	0:03:16.661871	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad16	0.0001	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0127	26.4450	0.2718	0.0010	[7415, 9028, 8076, 6198, 5776, 9277, 2548, 8844]	0:03:18.859504	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad16	5e-05	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0051	33.0241	0.1810	0.0007	[1731, 9045, 6816, 2712, 2286, 5012, 6488, 577]	0:03:15.499969	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_NoGaussSGD	0.0001	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0093	22.2895	0.6110	0.0038	[2541, 5658, 9163, 633, 5016, 5224, 974, 5908]	0:03:14.015777	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad16	0.0005	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0111	18.3636	0.6812	0.0021	[471, 8785, 6960, 2049, 5714, 9283, 7013, 3143]	0:03:12.386257	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad16	0.0001	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0099	31.5303	0.1671	0.0014	[3430, 6890, 2504, 7632, 3392, 1970, 7524, 6048]	0:03:13.638146	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad16	5e-05	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0020	47.5615	0.0003	0.0000	[6, 8294, 9443, 5472, 5244, 2199, 8855, 2220]	0:03:17.302318	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_NoGaussSGD	0.0001	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0026	35.5489	0.3544	0.0024	[4881, 6088, 5008, 9872, 257, 4943, 1969, 3872]	0:03:21.046801	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad16	0.0005	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0131	36.2921	0.0031	0.0000	[5539, 7009, 7655, 6993, 2161, 6864, 2829, 352]	0:03:30.025731	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad16	0.0001	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0062	23.3931	0.5729	0.0042	[7207, 9784, 7738, 2137, 6392, 4937, 5652, 2334]	0:03:33.286091	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad16	5e-05	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0090	21.7944	0.6112	0.0045	[6335, 5004, 7862, 879, 7590, 6695, 7660, 9595]	0:03:36.353348	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_NoGaussSGD	0.0001	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0071	35.5567	0.0031	0.0000	[9183, 7430, 3602, 3674, 9295, 2624, 7330, 1177]	0:03:36.459457	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad16	0.001	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0168	25.7225	0.2594	0.0026	[1594, 12, 2308, 7886, 9769, 6647, 4952, 4440]	0:03:31.262415	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad16	0.0005	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0122	30.0567	0.0373	0.0008	[6572, 6754, 4073, 2543, 9140, 3291, 5158, 4035]	0:03:32.353450	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad16	0.0001	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0035	27.2635	0.3733	0.0026	[1909, 1600, 101, 6754, 8163, 3562, 9403, 4312]	0:03:32.011524	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad16	5e-05	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0098	27.6034	0.3798	0.0019	[4506, 8061, 7158, 1311, 6169, 9274, 4712, 6904]	0:03:32.779462	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_NoGaussSGD	0.0001	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0022	36.2640	0.2921	0.0014	[1931, 8191, 1986, 4495, 5, 2070, 6731, 4644]	0:03:35.483409	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad16	0.001	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0176	34.3855	0.0041	0.0000	[3404, 9891, 3436, 5541, 5185, 4641, 1075, 7863]	0:03:38.838666	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad16	0.0005	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0069	19.5726	0.7620	0.0040	[4205, 3727, 9767, 2108, 7149, 3869, 6428, 414]	0:03:38.550209	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad16	0.0001	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0026	40.4796	0.0011	0.0000	[9737, 3502, 808, 4919, 8129, 2763, 8071, 4094]	0:03:38.944394	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad16	5e-05	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0126	27.2722	0.2253	0.0019	[5393, 9594, 6241, 7186, 9865, 2092, 2786, 5848]	0:03:38.895498	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_NoGaussSGD	0.0001	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0041	29.4134	0.4904	0.0029	[4802, 3529, 5456, 1801, 4706, 5915, 8087, 4004]	0:03:35.209359	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad16	0.001	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0233	23.1940	0.3741	0.0031	[2821, 1305, 695, 4860, 2847, 653, 9147, 8018]	0:03:30.904960	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad16	0.0005	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0062	30.2847	0.2749	0.0018	[8648, 3476, 2881, 990, 7091, 1331, 9081, 5559]	0:03:22.022658	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad16	0.0001	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0088	26.0344	0.5586	0.0033	[7564, 4796, 225, 86, 4356, 8129, 1385, 6257]	0:03:17.162464	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_NoGaussSGD	0.0001	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0034	43.5051	0.0006	0.0000	[3253, 6458, 6657, 537, 6934, 3145, 1207, 4129]	0:03:15.564041	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad16	0.001	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0236	25.4648	0.3711	0.0016	[1446, 7658, 32, 7245, 1805, 2862, 131, 119]	0:03:20.375739	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad16	0.0005	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0123	18.3790	0.7617	0.0049	[5697, 4814, 813, 7125, 1553, 9234, 78, 7379]	0:03:13.704048	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad16	0.0001	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0077	29.6842	0.2603	0.0014	[6864, 2755, 7664, 4036, 1878, 8821, 3793, 6965]	0:03:16.976728	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_NoGaussSGD	0.0001	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0102	22.3035	0.3599	0.0018	[666, 991, 3241, 1806, 7117, 6617, 287, 2812]	0:03:12.589955	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad16	0.001	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0114	28.5741	0.1635	0.0007	[4464, 5543, 7349, 523, 1650, 5921, 8782, 9519]	0:03:09.518440	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad16	0.0005	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0187	20.7431	0.5469	0.0053	[3799, 1285, 3636, 8597, 9161, 3357, 9962, 7225]	0:03:03.812452	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_NoGaussSGD	0.0001	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0121	35.8527	0.0034	0.0000	[5780, 4235, 6849, 359, 5562, 5891, 1206, 4745]	0:03:00.876831	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad16	0.001	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0173	33.8568	0.0067	0.0000	[1647, 1194, 6928, 1772, 9658, 8784, 9797, 3971]	0:03:01.889431	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad16	0.0005	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0118	25.5531	0.2884	0.0031	[5778, 7265, 4598, 9949, 4763, 5592, 3105, 9631]	0:03:00.778371	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_NoGaussSGD	0.0001	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0008	29.6094	0.5025	0.0024	[1975, 5407, 754, 1660, 5379, 217, 1349, 1712]	0:02:56.317758	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad16	0.001	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0157	15.1529	0.9420	0.0040	[4168, 8912, 7305, 1757, 8244, 3313, 2580, 7053]	0:02:52.950506	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad16	0.0005	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0102	23.7813	0.5573	0.0034	[1062, 732, 7507, 8108, 4148, 4908, 6663, 305]	0:02:42.749325	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad16	0.001	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0149	30.6451	0.2851	0.0020	[3077, 51, 808, 9848, 3123, 6354, 8143, 4383]	0:01:42.848613	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad16	0.001	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0203	27.9765	0.2963	0.0013	[5582, 3853, 9700, 8588, 3302, 794, 9916, 7798]	0:01:25.307777	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad16	0.001	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0186	36.9955	0.0023	0.0000	[2669, 5798, 2665, 2441, 5714, 5801, 1487, 4381]	0:01:25.998177	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_NoGradBatch	0.001	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0096	31.1288	0.3535	0.0012	[9620, 5674, 8514, 5808, 7385, 9413, 9485, 6488]	0:02:24.463923	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad18	0.001	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0202	23.8093	0.2762	0.0027	[2135, 6912, 2267, 5033, 3874, 8913, 9941, 7320]	0:02:55.734484	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad18	0.0005	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0077	37.8060	0.0020	0.0000	[2431, 5816, 9482, 3682, 2241, 8951, 6923, 1715]	0:03:31.684328	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_NoGradBatch	0.001	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0165	34.6315	0.0042	0.0000	[266, 2013, 1832, 4296, 9517, 5526, 8299, 9339]	0:03:38.841726	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad18	0.0001	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0211	33.9351	0.0054	0.0000	[3451, 75, 8905, 120, 9629, 9154, 2890, 9607]	0:03:34.793628	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad18	5e-05	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0131	30.3195	0.2091	0.0007	[7617, 8229, 2997, 8143, 3214, 4856, 899, 2507]	0:03:36.132688	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad18	0.001	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0154	21.2415	0.5856	0.0050	[7984, 9845, 3372, 1645, 7777, 1862, 7331, 1579]	0:03:37.691101	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad18	0.0005	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0347	20.1212	0.4795	0.0022	[232, 3176, 5766, 3440, 944, 1233, 8655, 500]	0:03:34.269106	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_NoGradBatch	0.001	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0162	29.0804	0.1915	0.0009	[8148, 2970, 6482, 7415, 5735, 4880, 5274, 451]	0:03:33.953502	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad18	0.0001	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0321	21.4449	0.3978	0.0021	[3389, 980, 4817, 6154, 7389, 7323, 7509, 8682]	0:03:32.562155	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad18	5e-05	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0097	29.8973	0.1749	0.0017	[6522, 2962, 1095, 3879, 1054, 4646, 8128, 4963]	0:03:36.688719	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad18	0.001	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0175	14.2609	0.8615	0.0057	[9493, 5089, 7672, 3832, 7585, 9066, 7337, 5526]	0:03:39.418534	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad18	0.0005	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0247	25.7869	0.2951	0.0024	[3549, 1067, 8588, 5365, 803, 6769, 9577, 8643]	0:03:41.398871	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_NoGradBatch	0.001	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0179	26.5335	0.1682	0.0013	[2706, 3144, 4286, 4961, 7507, 7551, 7082, 6604]	0:03:41.657212	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad18	0.0001	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0043	29.9607	0.3684	0.0024	[1785, 7766, 1515, 6636, 4038, 7165, 379, 1670]	0:03:41.424627	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad18	5e-05	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0101	27.2255	0.4233	0.0035	[9897, 4125, 4137, 3624, 5251, 4990, 7178, 5436]	0:03:40.523071	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad18	0.001	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0067	18.7570	0.6368	0.0042	[4257, 453, 6167, 1373, 4799, 4630, 1121, 442]	0:03:42.398323	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad18	0.0005	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0112	29.3250	0.1600	0.0009	[3494, 3866, 8951, 2648, 5386, 4013, 5521, 9364]	0:03:30.338378	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_NoGradBatch	0.001	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0127	28.7028	0.3587	0.0021	[8991, 5763, 3974, 9847, 3742, 7221, 4698, 7342]	0:03:31.170129	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad18	0.0001	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0180	30.1957	0.0191	0.0001	[5965, 8694, 3139, 1662, 1064, 1203, 4028, 4074]	0:03:30.630638	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad18	5e-05	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0090	28.1446	0.2847	0.0013	[8522, 5026, 9201, 208, 9527, 7510, 7619, 6141]	0:03:35.228774	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad18	0.001	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0096	19.5381	0.4450	0.0025	[2570, 5879, 9093, 1723, 7537, 8118, 9399, 7563]	0:03:34.500274	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad18	0.0005	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0134	16.9733	0.6200	0.0029	[146, 7083, 5732, 5607, 2404, 4906, 6702, 4613]	0:03:44.042796	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_NoGradBatch	0.001	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0341	25.4880	0.1273	0.0012	[2679, 9308, 9094, 6948, 2685, 2526, 5342, 6103]	0:03:43.686444	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad18	0.0001	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0121	14.6274	0.7853	0.0040	[609, 8218, 7726, 1642, 478, 9560, 3667, 1778]	0:03:42.291324	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad18	5e-05	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0108	35.1847	0.0054	0.0000	[2668, 5276, 1077, 1896, 1171, 9072, 8663, 5581]	0:03:43.760733	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad18	0.001	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0192	32.2804	0.0088	0.0001	[550, 8681, 4557, 1016, 3408, 603, 1113, 1544]	0:03:43.153738	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad18	0.0005	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0144	37.3173	0.0031	0.0001	[8786, 1746, 7844, 82, 1460, 6185, 4564, 6951]	0:03:36.835226	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_NoGradBatch	0.001	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0165	31.3921	0.0372	0.0002	[1330, 3657, 1867, 8203, 1171, 3900, 3661, 2106]	0:03:36.445440	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad18	0.0001	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0103	36.9149	0.0027	0.0000	[8474, 3286, 451, 5134, 5830, 9752, 1054, 9272]	0:03:37.350850	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad18	5e-05	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0043	29.8169	0.3649	0.0025	[9922, 710, 6250, 8039, 9342, 1133, 4954, 4544]	0:03:37.253865	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad18	0.001	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0102	26.5255	0.3315	0.0020	[5026, 1688, 6844, 3129, 2585, 4344, 8259, 9985]	0:03:36.738713	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad18	0.0005	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0174	27.8909	0.0933	0.0006	[5755, 6613, 9073, 9407, 7307, 31, 4095, 6321]	0:03:38.428789	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_NoGradBatch	0.001	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0142	22.3682	0.6141	0.0052	[218, 1846, 4086, 7973, 7780, 7133, 3834, 4266]	0:03:39.329807	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad18	0.0001	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0016	35.4431	0.3680	0.0011	[7455, 5685, 8761, 4167, 8499, 4630, 2635, 5345]	0:03:40.996398	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad18	5e-05	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0130	27.6716	0.2245	0.0011	[3939, 2318, 7160, 6949, 7785, 450, 1630, 2308]	0:03:35.737675	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad18	0.001	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0223	26.8669	0.3217	0.0019	[4542, 3070, 1013, 4445, 1010, 8228, 4518, 9441]	0:03:35.595062	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad18	0.0005	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0136	22.3346	0.4024	0.0014	[8695, 1119, 5582, 4324, 4496, 2055, 3786, 1594]	0:03:37.015874	torch.float32	1.0		gaussian
